Year,"Destination","Location","Female 0-4","Female 5-11","Female 5-17","Female 12-17","Female 18-59","Female 60+","F: Unknown","F_Total","Male 0-4","Male 5-11","Male 5-17","Male 12-17","Male 18-59","Male 60+","M: Unknown","M_Total","Overall total"
2014,Aruba,"Aruba : Dispersed in the country / territory",,,,,*,,,*,,,,,*,,,*,5
2014,Afghanistan,Badakhshan,10,15,,12,41,*,,80,10,15,,12,36,*,,77,157
2014,Afghanistan,"Badakhshan : Wilayat - Province",213,246,,259,500,88,,1306,210,244,,257,489,94,,1294,2600
2014,Afghanistan,"Badghis : Wilayat - Province",2327,2631,,2804,5149,990,,13901,2274,2595,,2808,5110,1043,,13830,27731
2014,Afghanistan,"Badghis : Wllayat - Province",*,6,,*,15,*,,30,*,6,,*,14,*,,29,59
2014,Afghanistan,"Badghis:Wllayet - Province",*,*,,*,*,*,,7,*,*,,*,*,*,,6,13
2014,Afghanistan,"Baghlan : Wilayat - Province",301,388,,366,943,89,,2087,302,391,,346,867,116,,2022,4109
2014,Afghanistan,"Baghlan : Wllayat - Province",473,680,,578,1883,85,,3699,488,698,,520,1664,157,,3527,7226
2014,Afghanistan,"Balkh : Wilayat - Province",1890,2312,,2287,5188,664,,12341,1878,2312,,2221,4902,783,,12096,24437
2014,Afghanistan,"Bamyan : Wilayat - Province",57,81,,66,220,11,,435,58,83,,63,196,20,,420,855
2014,Afghanistan,"Bamyan: Wilayat - Province",9,13,,11,37,*,,72,10,14,,10,32,*,,69,141
2014,Afghanistan,"Daykundi : Wilayat - Province",25,35,,31,93,6,,190,26,36,,29,83,9,,183,373
2014,Afghanistan,"Farah : Wilayat - Province",2399,2770,,2894,5643,974,,14680,2354,2742,,2875,5515,1052,,14538,29218
2014,Afghanistan,"Faryab : Wilayat - Province",3727,4253,,4494,8467,1557,,22498,3650,4202,,4485,8347,1657,,22341,44839
2014,Afghanistan,"Ghazni : Wilayat - Province",3425,3917,,4131,7837,1421,,20731,3354,3873,,4118,7712,1518,,20575,41306
2014,Afghanistan,"Ghor : Wilayat - Province",3209,3626,,3869,7090,1367,,19161,3135,3576,,3872,7034,1439,,19056,38217
2014,Afghanistan,"Helmand : Wilayat - Province",10555,12006,,12733,23764,4438,,63496,10329,11853,,12716,23475,4707,,63080,126576
2014,Afghanistan,"Herat : Wilayat - Province",2314,2863,,2806,6543,785,,15311,2305,2868,,2708,6149,944,,14974,30285
2014,Afghanistan,"Hilmand : Wilayat - Province",221,318,,270,879,40,,1728,228,325,,243,776,73,,1645,3373
2014,Afghanistan,"Hirat : Wilayat - Province",8011,9054,,9659,17711,3414,,47849,7828,8930,,9671,17572,3594,,47595,95444
2014,Afghanistan,"Jawzjan : Wilayat - Province",1342,1601,,1621,3446,506,,8516,1328,1594,,1592,3302,571,,8387,16903
2014,Afghanistan,"Kabul : Wilayat - Province",5610,7175,,6802,17200,1719,,38506,5631,7229,,6492,15901,2204,,37457,75963
2014,Afghanistan,"Kandahar : Wilayat - Province",5126,6028,,6194,12681,1996,,32025,5052,5989,,6106,12251,2212,,31610,63635
2014,Afghanistan,"Kapisa : Wilayat - Province",707,833,,858,1753,274,,4425,698,828,,843,1695,304,,4368,8793
2014,Afghanistan,"Khost : Wilayat - Province",15470,19777,,17740,56236,2452,,111675,15455,21843,,15653,49947,4561,,107459,219134
