Year,Destination,Origin,Refugees,AsylumSeekers,ReturnedRefugees,IDPs,ReturnedIDPs,StatelessPersons,Others,Total
1968,Lebanon,"Syrian Arab Rep.",1200,,,,,,,1200
1969,Lebanon,"Syrian Arab Rep.",1200,,,,,,,1200
1979,Lebanon,"Syrian Arab Rep.",500,,,,,,,500
1980,Italy,"Syrian Arab Rep.",2,,,,,,,2
1980,Lebanon,"Syrian Arab Rep.",500,,,,,,,500
1981,Italy,"Syrian Arab Rep.",4,,,,,,,4
1981,Lebanon,"Syrian Arab Rep.",500,,,,,,,500
1982,Italy,"Syrian Arab Rep.",4,,,,,,,4
1982,Lebanon,"Syrian Arab Rep.",500,,6000,,,,,6500
1983,Italy,"Syrian Arab Rep.",6,,,,,,,6
1983,Lebanon,"Syrian Arab Rep.",520,,,,,,,520
1984,Italy,"Syrian Arab Rep.",9,,,,,,,9
1984,Lebanon,"Syrian Arab Rep.",520,,,,,,,520
1985,Iraq,"Syrian Arab Rep.",2000,,,,,,,2000
1985,Italy,"Syrian Arab Rep.",9,,,,,,,9
1985,Lebanon,"Syrian Arab Rep.",590,,,,,,,590
1986,Italy,"Syrian Arab Rep.",14,,,,,,,14
1986,Lebanon,"Syrian Arab Rep.",520,,,,,,,520
1987,Italy,"Syrian Arab Rep.",20,,,,,,,20
1988,"United Kingdom","Syrian Arab Rep.",22,,,,,,,22
1988,Greece,"Syrian Arab Rep.",60,,,,,,,60
1988,Italy,"Syrian Arab Rep.",27,,,,,,,27
1988,Lebanon,"Syrian Arab Rep.",520,,,,,,,520
1988,"United States of America","Syrian Arab Rep.",252,,,,,,,252
1989,Denmark,"Syrian Arab Rep.",11,,,,,,,11
1989,"United Kingdom","Syrian Arab Rep.",13,,,,,,,13
1989,Greece,"Syrian Arab Rep.",100,,,,,,,100
1989,Italy,"Syrian Arab Rep.",34,,,,,,,34
1989,"United States of America","Syrian Arab Rep.",239,,,,,,,239
1990,Denmark,"Syrian Arab Rep.",46,,,,,,,46
1990,"United Kingdom","Syrian Arab Rep.",17,,,,,,,17
1990,Italy,"Syrian Arab Rep.",32,,,,,,,32
1990,Sweden,"Syrian Arab Rep.",1796,,,,,,,1796
1990,"United States of America","Syrian Arab Rep.",257,,,,,,,257
1991,Denmark,"Syrian Arab Rep.",71,,,,,,,71
1991,Spain,"Syrian Arab Rep.",34,,,,,,,34
1991,"United Kingdom","Syrian Arab Rep.",16,,,,,,,16
1991,Italy,"Syrian Arab Rep.",32,,,,,,,32
1991,Sweden,"Syrian Arab Rep.",2679,,,,,,,2679
1991,"United States of America","Syrian Arab Rep.",205,,,,,,,205
1992,Denmark,"Syrian Arab Rep.",108,,,,,,,108
1992,Spain,"Syrian Arab Rep.",31,,,,,,,31
1992,"United Kingdom","Syrian Arab Rep.",9,,,,,,,9
1992,Italy,"Syrian Arab Rep.",36,,,,,,,36
1992,Netherlands,"Syrian Arab Rep.",913,,,,,,,913
1992,Sweden,"Syrian Arab Rep.",3157,,,,,,,3157
1992,"United States of America","Syrian Arab Rep.",154,,,,,,,154
1993,"United Arab Emirates","Syrian Arab Rep.",21,,,,,,,21
1993,"Burkina Faso","Syrian Arab Rep.",5,,,,,,,5
1993,Bulgaria,"Syrian Arab Rep.",1,,,,,,,1
1993,"Côte d'Ivoire","Syrian Arab Rep.",3,,,,,,,3
1993,Denmark,"Syrian Arab Rep.",129,,,,,,,129
1993,Ecuador,"Syrian Arab Rep.",12,,,,,,,12
1993,Egypt,"Syrian Arab Rep.",3,,,,,,,3
1993,Spain,"Syrian Arab Rep.",38,,,,,,,38
1993,"United Kingdom","Syrian Arab Rep.",9,,,,,,,9
1993,Greece,"Syrian Arab Rep.",125,,,,,,,125
